m	lambda (Hz)	Angular frequency (rad/s)	Damping ratio (1)	Quality factor (1)
0.0000	4.0166E10+9.4862E8i	2.5237E11+5.9604E9i	0.023611	21.177
0.0000	4.0203E10+1.1729E9i	2.5260E11+7.3695E9i	0.029162	17.146
0.0000	4.0285E10+7.1072E8i	2.5312E11+4.4656E9i	0.017640	28.345
0.0000	4.0347E10+1.9409E9i	2.5351E11+1.2195E10i	0.048049	10.406
0.0000	4.0364E10+8.9435E8i	2.5361E11+5.6193E9i	0.022152	22.572
0.0000	4.0390E10+2.0154E9i	2.5378E11+1.2663E10i	0.049838	10.033
0.0000	4.0409E10+9.1005E8i	2.5390E11+5.7180E9i	0.022515	22.207
0.0000	4.0448E10+1.0614E9i	2.5414E11+6.6688E9i	0.026231	19.061
0.0000	4.0475E10+2.0359E9i	2.5431E11+1.2792E10i	0.050237	9.9528
0.0000	4.0500E10+1.4954E9i	2.5447E11+9.3961E9i	0.036899	13.550
0.0000	4.0525E10+1.0278E9i	2.5462E11+6.4580E9i	0.025355	19.720
0.0000	4.0532E10+1.0130E9i	2.5467E11+6.3650E9i	0.024985	20.012
0.0000	4.0536E10+8.2155E8i	2.5469E11+5.1619E9i	0.020263	24.675
0.0000	4.0604E10+1.1079E9i	2.5512E11+6.9609E9i	0.027275	18.332
0.0000	4.0653E10+1.2814E9i	2.5543E11+8.0516E9i	0.031506	15.870
0.0000	4.0661E10+7.4371E8i	2.5548E11+4.6729E9i	0.018287	27.341
0.0000	4.0662E10+2.6764E9i	2.5549E11+1.6816E10i	0.065679	7.6128
0.0000	4.0666E10+8.9326E8i	2.5551E11+5.6125E9i	0.021960	22.768
0.0000	4.0713E10+1.6375E9i	2.5581E11+1.0289E10i	0.040188	12.442
0.0000	4.0731E10+2.1830E9i	2.5592E11+1.3716E10i	0.053520	9.3424
0.0000	4.0732E10+1.5053E9i	2.5593E11+9.4581E9i	0.036931	13.539
0.0000	4.0753E10+7.8874E8i	2.5606E11+4.9558E9i	0.019351	25.839
0.0000	4.0782E10+1.0240E9i	2.5624E11+6.4337E9i	0.025100	19.920
0.0000	4.0787E10+1.2978E9i	2.5627E11+8.1543E9i	0.031802	15.722
0.0000	4.0792E10+1.0061E9i	2.5630E11+6.3216E9i	0.024657	20.278
0.0000	4.0822E10+1.9083E9i	2.5649E11+1.1990E10i	0.046697	10.707
0.0000	4.0836E10+1.0928E9i	2.5658E11+6.8665E9i	0.026752	18.690
0.0000	4.0873E10+2.4289E9i	2.5681E11+1.5261E10i	0.059320	8.4288
0.0000	4.0953E10+1.0609E9i	2.5731E11+6.6659E9i	0.025897	19.307
0.0000	4.0963E10+1.3249E9i	2.5738E11+8.3246E9i	0.032327	15.467
0.0000	4.0975E10+8.8453E8i	2.5745E11+5.5576E9i	0.021582	23.167
0.0000	4.1049E10+9.3892E8i	2.5792E11+5.8994E9i	0.022867	21.865
0.0000	4.1066E10+7.6144E8i	2.5803E11+4.7843E9i	0.018539	26.971
0.0000	4.1075E10+8.1321E8i	2.5808E11+5.1095E9i	0.019794	25.260
0.0000	4.1140E10+1.3639E9i	2.5849E11+8.5698E9i	0.033135	15.090
0.0000	4.1168E10+1.5345E9i	2.5866E11+9.6413E9i	0.037248	13.424
0.0000	4.1197E10+9.9516E8i	2.5885E11+6.2528E9i	0.024149	20.705
0.0000	4.1201E10+2.0026E9i	2.5887E11+1.2583E10i	0.048548	10.299
0.0000	4.1255E10+1.2029E9i	2.5922E11+7.5578E9i	0.029144	17.156
0.0000	4.1257E10+9.1193E8i	2.5922E11+5.7298E9i	0.022098	22.626
0.0000	4.1406E10+2.4416E9i	2.6016E11+1.5341E10i	0.058865	8.4940
0.0000	4.1409E10+2.1145E9i	2.6018E11+1.3286E10i	0.050998	9.8044
0.0000	4.1425E10+8.9748E8i	2.6028E11+5.6390E9i	0.021660	23.084
0.0000	4.1434E10+1.6217E9i	2.6034E11+1.0189E10i	0.039109	12.785
0.0000	4.1528E10+8.7766E8i	2.6093E11+5.5145E9i	0.021130	23.663
0.0000	4.1579E10+1.3786E9i	2.6125E11+8.6618E9i	0.033137	15.089
0.0000	4.1598E10+1.3832E9i	2.6137E11+8.6912E9i	0.033234	15.045
0.0000	4.1609E10+9.5487E8i	2.6144E11+5.9996E9i	0.022942	21.794
0.0000	4.1617E10+2.8036E9i	2.6149E11+1.7615E10i	0.067213	7.4390
0.0000	4.1677E10+1.1200E9i	2.6186E11+7.0369E9i	0.026863	18.613
0.0000	4.1714E10+1.0214E9i	2.6210E11+6.4176E9i	0.024478	20.426
0.0000	4.1726E10+7.4695E8i	2.6217E11+4.6932E9i	0.017899	27.935
0.0000	4.1758E10+1.9641E9i	2.6237E11+1.2341E10i	0.046984	10.642
0.0000	4.1769E10+2.3963E9i	2.6244E11+1.5056E10i	0.057275	8.7297
0.0000	4.1773E10+1.3447E9i	2.6247E11+8.4492E9i	0.032175	15.540
0.0000	4.1782E10+8.7682E8i	2.6253E11+5.5092E9i	0.020981	23.831
0.0000	4.1800E10+9.8011E8i	2.6264E11+6.1582E9i	0.023441	21.330
0.0000	4.1835E10+1.1867E9i	2.6286E11+7.4565E9i	0.028356	17.633
0.0000	4.1948E10+6.8973E8i	2.6357E11+4.3337E9i	0.016440	30.413
0.0000	4.1960E10+7.3070E8i	2.6364E11+4.5911E9i	0.017412	28.717
0.0000	4.2014E10+1.1560E9i	2.6398E11+7.2631E9i	0.027503	18.180
0.0000	4.2035E10+7.3423E8i	2.6412E11+4.6133E9i	0.017464	28.630
0.0000	4.2076E10+2.7276E9i	2.6437E11+1.7138E10i	0.064690	7.7292
0.0000	4.2082E10+1.3265E9i	2.6441E11+8.3348E9i	0.031507	15.870
0.0000	4.2105E10+1.7321E9i	2.6455E11+1.0883E10i	0.041103	12.165
0.0000	4.2126E10+1.8445E9i	2.6468E11+1.1589E10i	0.043743	11.430
0.0000	4.2129E10+7.3297E8i	2.6470E11+4.6054E9i	0.017396	28.743
0.0000	4.2220E10+1.1796E9i	2.6528E11+7.4119E9i	0.027930	17.902
0.0000	4.2250E10+8.1828E8i	2.6546E11+5.1414E9i	0.019364	25.821
0.0000	4.2263E10+9.9563E8i	2.6554E11+6.2557E9i	0.023552	21.230
0.0000	4.2301E10+1.3837E9i	2.6579E11+8.6943E9i	0.032694	15.293
0.0000	4.2331E10+1.2286E9i	2.6597E11+7.7198E9i	0.029013	17.234
0.0000	4.2336E10+8.6446E8i	2.6601E11+5.4315E9i	0.020415	24.492
0.0000	4.2439E10+1.2101E9i	2.6665E11+7.6034E9i	0.028503	17.542
0.0000	4.2467E10+7.9514E8i	2.6683E11+4.9960E9i	0.018720	26.709
0.0000	4.2470E10+2.1528E9i	2.6685E11+1.3526E10i	0.050624	9.8767
0.0000	4.2479E10+6.6600E8i	2.6690E11+4.1846E9i	0.015676	31.895
0.0000	4.2483E10+1.2295E9i	2.6693E11+7.7253E9i	0.028929	17.283
0.0000	4.2490E10+1.0839E9i	2.6697E11+6.8106E9i	0.025502	19.606
0.0000	4.2498E10+1.1663E9i	2.6702E11+7.3280E9i	0.027433	18.226
0.0000	4.2534E10+8.4813E8i	2.6725E11+5.3289E9i	0.019936	25.080
0.0000	4.2557E10+2.0421E9i	2.6739E11+1.2831E10i	0.047931	10.432
0.0000	4.2558E10+2.2840E9i	2.6740E11+1.4351E10i	0.053591	9.3299
0.0000	4.2605E10+1.0234E9i	2.6770E11+6.4303E9i	0.024014	20.821
0.0000	4.2658E10+8.3911E8i	2.6803E11+5.2723E9i	0.019667	25.423
0.0000	4.2676E10+1.3007E9i	2.6814E11+8.1723E9i	0.030464	16.413
0.0000	4.2692E10+8.5918E8i	2.6824E11+5.3984E9i	0.020121	24.850
0.0000	4.2745E10+8.9904E8i	2.6858E11+5.6488E9i	0.021028	23.778
