#Saved Data from the class odmr_logic on 02.12.2022 at 14h18m45s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 40
#Start Frequency (Hz): 5.4768000000000000e+09
#Stop Frequency (Hz): 5.4784000000000000e+09
#Step size (Hz): 2.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476800e+09	1.148718e+03
5.476820e+09	1.121026e+03
5.476840e+09	1.094872e+03
5.476860e+09	1.104103e+03
5.476880e+09	1.130769e+03
5.476900e+09	1.153333e+03
5.476920e+09	1.087179e+03
5.476940e+09	1.034872e+03
5.476960e+09	1.090769e+03
5.476980e+09	1.107692e+03
5.477000e+09	1.088205e+03
5.477020e+09	1.100000e+03
5.477040e+09	1.084103e+03
5.477060e+09	1.122051e+03
5.477080e+09	1.115385e+03
5.477100e+09	1.093846e+03
5.477120e+09	1.046667e+03
5.477140e+09	1.128205e+03
5.477160e+09	1.107692e+03
5.477180e+09	1.071282e+03
5.477200e+09	1.084103e+03
5.477220e+09	1.127692e+03
5.477240e+09	1.103590e+03
5.477260e+09	1.105641e+03
5.477280e+09	1.114359e+03
5.477300e+09	1.069231e+03
5.477320e+09	1.107692e+03
5.477340e+09	1.059487e+03
5.477360e+09	1.071282e+03
5.477380e+09	1.077436e+03
5.477400e+09	1.088718e+03
5.477420e+09	1.067692e+03
5.477440e+09	1.091795e+03
5.477460e+09	1.092308e+03
5.477480e+09	1.084103e+03
5.477500e+09	1.063077e+03
5.477520e+09	1.114872e+03
5.477540e+09	1.121026e+03
5.477560e+09	1.061026e+03
5.477580e+09	1.041026e+03
5.477600e+09	1.037949e+03
5.477620e+09	1.064615e+03
5.477640e+09	9.958974e+02
5.477660e+09	9.861538e+02
5.477680e+09	1.017949e+03
5.477700e+09	1.001026e+03
5.477720e+09	1.012821e+03
5.477740e+09	1.029744e+03
5.477760e+09	1.013846e+03
5.477780e+09	1.015897e+03
5.477800e+09	1.008205e+03
5.477820e+09	1.025641e+03
5.477840e+09	1.007179e+03
5.477860e+09	1.020000e+03
5.477880e+09	1.052308e+03
5.477900e+09	1.033333e+03
5.477920e+09	1.084103e+03
5.477940e+09	1.049744e+03
5.477960e+09	1.049231e+03
5.477980e+09	1.065128e+03
5.478000e+09	1.082051e+03
5.478020e+09	1.071795e+03
5.478040e+09	1.070256e+03
5.478060e+09	1.115897e+03
5.478080e+09	1.083590e+03
5.478100e+09	1.077949e+03
5.478120e+09	1.080000e+03
5.478140e+09	1.069744e+03
5.478160e+09	1.005641e+03
5.478180e+09	1.110769e+03
5.478200e+09	1.047692e+03
5.478220e+09	1.105641e+03
5.478240e+09	1.026154e+03
5.478260e+09	1.090256e+03
5.478280e+09	1.082564e+03
5.478300e+09	1.054359e+03
5.478320e+09	1.077436e+03
5.478340e+09	1.112821e+03
5.478360e+09	1.058462e+03
5.478380e+09	1.042564e+03
5.478400e+09	1.013333e+03
