#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h59m28s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:58min:46s
#Stop Time (s): 02.12.2022 16h:59min:28s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
2.293872833252e-02	3.600000000000e+03	7.370373738955e+02
3.792881965637e-02	2.950000000000e+03	7.370373738955e+02
5.784559249878e-02	5.000000000000e+03	7.370373738955e+02
7.781577110291e-02	3.850000000000e+03	7.370373738955e+02
9.773826599121e-02	5.850000000000e+03	7.370373738955e+02
1.236689090729e-01	5.600000000000e+03	7.370373738955e+02
1.436159610748e-01	4.550000000000e+03	7.370373738955e+02
1.755304336548e-01	5.050000000000e+03	7.370373738955e+02
1.874983310699e-01	4.800000000000e+03	7.370373738955e+02
1.984918117523e-01	3.350000000000e+03	7.370373738955e+02
2.214078903198e-01	4.150000000000e+03	7.370373738955e+02
2.373650074005e-01	5.550000000000e+03	7.370373738955e+02
2.573113441467e-01	4.550000000000e+03	7.370373738955e+02
2.782557010651e-01	4.350000000000e+03	7.370373738955e+02
2.972052097321e-01	4.050000000000e+03	7.370373738955e+02
3.171517848969e-01	5.950000000000e+03	7.370373738955e+02
3.370981216431e-01	6.000000000000e+03	7.370373738955e+02
3.580420017242e-01	5.700000000000e+03	7.370373738955e+02
3.779892921448e-01	5.800000000000e+03	7.370373738955e+02
3.979353904724e-01	4.100000000000e+03	7.370373738955e+02
4.179096221924e-01	5.650000000000e+03	7.370373738955e+02
4.378559589386e-01	5.700000000000e+03	7.370373738955e+02
4.578962326050e-01	5.250000000000e+03	7.370373738955e+02
4.781405925751e-01	5.900000000000e+03	7.370373738955e+02
4.980878829956e-01	4.650000000000e+03	7.370373738955e+02
5.180344581604e-01	4.650000000000e+03	7.370373738955e+02
5.379815101624e-01	4.900000000000e+03	7.370373738955e+02
5.574746131897e-01	5.650000000000e+03	7.370373738955e+02
5.778100490570e-01	5.550000000000e+03	7.370373738955e+02
5.978381633759e-01	4.450000000000e+03	7.370373738955e+02
6.176991462708e-01	5.550000000000e+03	7.370373738955e+02
6.373207569122e-01	6.950000000000e+03	7.370373738901e+02
6.571621894836e-01	6.050000000000e+03	7.370373738816e+02
6.781213283539e-01	5.850000000000e+03	7.370373738760e+02
6.980531215668e-01	4.050000000000e+03	7.370373738760e+02
7.180042266846e-01	5.150000000000e+03	7.370373738760e+02
7.379701137543e-01	6.150000000000e+03	7.370373738760e+02
7.579476833344e-01	4.200000000000e+03	7.370373738760e+02
7.778942584991e-01	5.500000000000e+03	7.370373738760e+02
7.978634834290e-01	4.700000000000e+03	7.370373738760e+02
8.177883625031e-01	3.600000000000e+03	7.370373738760e+02
8.375024795532e-01	2.850000000000e+03	7.370373738760e+02
8.574485778809e-01	4.950000000000e+03	7.370373738760e+02
8.773846626282e-01	2.150000000000e+03	7.370373738760e+02
8.973188400269e-01	3.250000000000e+03	7.370373738760e+02
9.172663688660e-01	4.700000000000e+03	7.370373738760e+02
9.372360706329e-01	3.800000000000e+03	7.370373738760e+02
9.571592807770e-01	4.850000000000e+03	7.370373738892e+02
9.771287441254e-01	4.750000000000e+03	7.370373740215e+02
9.980714321136e-01	5.600000000000e+03	7.370373622726e+02
1.017996072769e+00	4.950000000000e+03	7.370373553637e+02
1.037942647934e+00	3.900000000000e+03	7.370373527678e+02
1.057911634445e+00	4.900000000000e+03	7.370373506026e+02
1.077836036682e+00	5.450000000000e+03	7.370373483235e+02
1.097813606262e+00	5.300000000000e+03	7.370373456813e+02
1.117729902267e+00	5.800000000000e+03	7.370373447621e+02
1.137675523758e+00	4.700000000000e+03	7.370373439098e+02
1.157669067383e+00	4.600000000000e+03	7.370373404920e+02
1.177398681641e+00	3.050000000000e+03	7.370373379642e+02
1.197648525238e+00	5.000000000000e+03	7.370373354869e+02
1.218029260635e+00	6.500000000000e+03	7.370373331739e+02
1.237311363220e+00	6.000000000000e+03	7.370373317861e+02
1.257443428040e+00	6.550000000000e+03	7.370373313466e+02
1.277668476105e+00	5.650000000000e+03	7.370373283802e+02
1.297656774521e+00	5.850000000000e+03	7.370373256131e+02
1.319887638092e+00	3.850000000000e+03	7.370373227524e+02
1.337865114212e+00	5.400000000000e+03	7.370373207706e+02
1.357786178589e+00	3.850000000000e+03	7.370373184014e+02
1.377793312073e+00	5.850000000000e+03	7.370373155007e+02
1.397720575333e+00	4.300000000000e+03	7.370373129833e+02
1.417689561844e+00	4.700000000000e+03	7.370373110663e+02
1.437643051147e+00	9.000000000000e+02	7.370373110663e+02
1.457584857941e+00	2.550000000000e+03	7.370373091875e+02
1.477508544922e+00	3.800000000000e+03	7.370373063017e+02
1.497476100922e+00	3.650000000000e+03	7.370373033295e+02
1.518421888351e+00	5.150000000000e+03	7.370373003402e+02
1.537346839905e+00	5.600000000000e+03	7.370372977104e+02
1.557292938232e+00	5.300000000000e+03	7.370372975700e+02
1.577262401581e+00	4.500000000000e+03	7.370372964313e+02
1.597186565399e+00	4.450000000000e+03	7.370372939099e+02
1.618129968643e+00	3.350000000000e+03	7.370372909404e+02
1.637080430984e+00	4.850000000000e+03	7.370372883777e+02
1.658046245575e+00	5.100000000000e+03	7.370372857780e+02
1.677993297577e+00	6.050000000000e+03	7.370372829325e+02
1.697939157486e+00	5.800000000000e+03	7.370372801043e+02
1.717863321304e+00	5.050000000000e+03	7.370372774699e+02
1.737809419632e+00	5.200000000000e+03	7.370372768104e+02
1.757756471634e+00	5.750000000000e+03	7.370372766431e+02
1.777725696564e+00	5.250000000000e+03	7.370372732929e+02
1.797678232193e+00	5.300000000000e+03	7.370372708262e+02
1.817620515823e+00	4.850000000000e+03	7.370372687359e+02
1.837570905685e+00	4.150000000000e+03	7.370372660902e+02
1.857489347458e+00	5.850000000000e+03	7.370372630459e+02
1.877435684204e+00	5.450000000000e+03	7.370372596079e+02
1.897789955139e+00	6.350000000000e+03	7.370372569814e+02
1.917169094086e+00	5.500000000000e+03	7.370372558397e+02
1.937260150909e+00	5.400000000000e+03	7.370372521487e+02
1.957206249237e+00	5.650000000000e+03	7.370372492172e+02
1.978150367737e+00	3.600000000000e+03	7.370372492172e+02
1.997100114822e+00	4.850000000000e+03	7.370372474647e+02
2.017349004745e+00	5.200000000000e+03	7.370372448946e+02
2.037926435471e+00	5.100000000000e+03	7.370372420156e+02
2.057290077209e+00	2.300000000000e+03	7.370372390029e+02
