time(ps)	counts
0	1225
2000	1284
4000	1232
6000	1260
8000	1259
10000	1270
12000	1242
14000	1226
16000	1279
18000	1233
20000	1282
22000	1177
24000	1229
26000	1222
28000	1250
30000	1280
32000	1250
34000	1215
36000	1194
38000	1351
40000	1262
42000	1211
44000	1216
46000	1249
48000	1244
50000	1274
52000	1244
54000	1234
56000	1211
58000	1242
60000	1255
62000	1260
64000	1268
66000	1258
68000	1200
70000	1267
72000	1288
74000	1255
76000	1138
78000	1268
80000	1250
82000	1162
84000	1175
86000	1267
88000	1484
90000	1430
92000	1518
94000	1487
96000	1538
98000	1491
100000	1444
102000	1461
104000	1416
106000	1433
108000	1398
110000	1456
112000	1374
114000	1501
116000	1395
118000	1446
120000	1404
122000	1431
124000	1392
126000	1400
128000	1400
130000	1378
132000	1466
134000	1419
136000	1431
138000	1328
140000	1373
142000	1413
144000	1415
146000	1361
148000	1383
150000	1363
152000	1492
154000	1463
156000	1514
158000	1444
160000	1424
162000	1446
164000	1421
166000	1443
168000	1398
170000	1411
172000	1331
174000	1362
176000	1435
178000	1332
180000	1380
182000	1395
184000	1349
186000	1416
188000	1420
190000	1360
192000	1373
194000	1375
196000	1362
198000	1401
200000	1380
202000	1419
204000	1322
206000	1333
208000	1410
210000	1402
212000	1413
214000	1499
216000	1477
218000	1519
220000	1532
222000	1389
224000	1462
226000	1397
228000	1409
230000	1410
232000	1408
234000	1418
236000	1340
238000	1358
240000	1385
242000	1413
244000	1386
246000	1380
248000	1389
250000	1365
252000	1361
254000	1404
256000	1307
258000	1368
260000	1345
262000	1391
264000	1384
266000	1358
268000	1373
270000	1403
272000	1348
274000	1334
276000	1356
278000	1351
280000	1313
282000	1393
284000	1215
286000	1351
288000	1438
290000	1443
292000	1431
294000	1495
296000	1506
298000	1509
300000	1478
302000	1563
304000	1515
306000	1452
308000	1436
310000	1397
312000	1408
314000	1345
316000	1412
318000	1412
320000	1438
322000	1490
324000	1431
326000	1429
328000	1419
330000	1306
332000	1437
334000	1337
336000	1419
338000	1363
340000	1392
342000	1360
344000	1373
346000	1367
348000	1450
350000	1359
352000	1379
354000	1291
356000	1426
358000	1372
360000	1316
362000	1352
364000	1318
366000	1386
368000	1303
370000	1373
372000	1342
374000	1313
376000	1321
378000	1358
380000	1335
382000	1398
384000	1219
386000	1318
388000	1408
390000	1433
392000	1482
394000	1529
396000	1504
398000	1514
400000	1487
402000	1541
404000	1477
406000	1497
408000	1405
410000	1519
412000	1443
414000	1445
416000	1451
418000	1389
420000	1382
422000	1504
424000	1359
426000	1398
428000	1424
430000	1424
432000	1415
434000	1422
436000	1376
438000	1419
440000	1500
442000	1411
444000	1357
446000	1361
448000	1345
450000	1421
452000	1390
454000	1396
456000	1475
458000	1338
460000	1426
462000	1312
464000	1372
466000	1369
468000	1410
470000	1335
472000	1408
474000	1390
476000	1345
478000	1367
480000	1350
482000	1371
484000	1380
486000	1363
488000	1351
490000	1335
492000	1345
494000	1301
496000	1367
498000	1268
500000	1292
502000	1334
504000	1233
506000	1333
508000	1425
510000	1532
512000	1518
514000	1437
516000	1497
518000	1527
520000	1436
522000	1431
524000	1408
526000	1434
528000	1475
530000	1397
532000	1477
534000	1432
536000	1519
538000	1361
540000	1431
542000	1486
544000	1432
546000	1466
548000	1390
550000	1449
552000	1453
554000	1402
556000	1397
558000	1417
560000	1420
562000	1350
564000	1351
566000	1393
568000	1370
570000	1405
572000	1380
574000	1357
576000	1390
578000	1471
580000	1388
582000	1353
584000	1384
586000	1347
588000	1355
590000	1301
592000	1342
594000	1416
596000	1363
598000	1296
600000	1344
602000	1346
604000	1316
606000	1390
608000	1319
610000	1346
612000	1316
614000	1348
616000	1367
618000	1336
620000	1383
622000	1360
624000	1373
626000	1315
628000	1312
630000	1370
632000	1334
634000	1352
636000	1323
638000	1336
640000	1295
642000	1267
644000	1247
646000	1354
648000	1400
650000	1403
652000	1451
654000	1370
656000	1450
658000	1493
660000	1456
662000	1407
664000	1419
666000	1478
668000	1449
670000	1422
672000	1357
674000	1317
676000	1382
678000	1379
680000	1399
682000	1413
684000	1421
686000	1380
688000	1378
690000	1365
692000	1302
694000	1371
696000	1392
698000	1361
700000	1343
702000	1380
704000	1338
706000	1347
708000	1322
710000	1304
712000	1343
714000	1368
716000	1353
718000	1319
720000	1306
722000	1338
724000	1309
726000	1392
728000	1348
730000	1338
732000	1357
734000	1305
736000	1360
738000	1346
740000	1304
742000	1305
744000	1349
746000	1357
748000	1343
750000	1352
752000	1315
754000	1336
756000	1302
758000	1327
760000	1345
762000	1323
764000	1352
766000	1299
768000	1310
770000	1372
772000	1311
774000	1293
776000	1326
778000	1282
780000	1334
782000	1300
784000	1246
786000	1340
788000	1251
790000	1249
792000	1341
794000	1273
796000	1299
798000	1355
800000	1332
802000	1249
804000	1227
806000	1228
808000	1301
810000	1335
812000	1388
814000	1330
816000	1469
818000	1422
820000	1393
822000	1325
824000	1334
826000	1335
828000	1444
830000	1331
832000	1404
834000	1317
836000	1327
838000	1382
840000	1371
842000	1396
844000	1448
846000	1302
848000	1327
850000	1392
852000	1332
854000	1367
856000	1356
858000	1337
860000	1338
862000	1284
864000	1350
866000	1358
868000	1350
870000	1319
872000	1378
874000	1370
876000	1351
878000	1341
880000	1374
882000	1350
884000	1388
886000	1321
888000	1322
890000	1314
892000	1315
894000	1361
896000	1290
898000	1296
900000	1353
902000	1367
904000	1327
906000	1314
908000	1355
910000	1409
912000	1349
914000	1330
916000	1316
918000	1275
920000	1291
922000	1278
924000	1304
926000	1341
928000	1346
930000	1225
932000	1250
934000	1284
936000	1276
938000	1309
940000	1344
942000	1324
944000	1359
946000	1307
948000	1290
950000	1361
952000	1323
954000	1310
956000	1347
958000	1294
960000	1360
962000	1246
964000	1277
966000	1291
968000	1359
970000	1339
972000	1296
974000	1332
976000	1281
978000	1312
980000	1262
982000	1290
984000	1293
986000	1284
988000	1270
990000	1314
992000	1370
994000	1364
996000	1337
998000	1286
1000000	1310
1002000	1321
1004000	1317
1006000	1357
1008000	1385
1010000	1273
1012000	1281
1014000	1322
1016000	1283
1018000	1395
1020000	1352
1022000	1349
1024000	1322
1026000	1326
1028000	1350
1030000	1276
1032000	1297
1034000	1298
1036000	1290
1038000	1270
1040000	1358
1042000	1278
1044000	1287
1046000	1283
1048000	1308
1050000	1250
1052000	1380
1054000	1342
1056000	1265
1058000	1230
1060000	1261
1062000	1382
1064000	1276
1066000	1331
1068000	1363
1070000	1317
1072000	1376
1074000	1297
1076000	1281
1078000	1342
1080000	1359
1082000	1316
1084000	1356
1086000	1212
1088000	1388
1090000	1227
1092000	1277
1094000	1272
1096000	1336
1098000	1292
1100000	1325
1102000	1270
1104000	1314
1106000	1316
1108000	1232
1110000	1238
1112000	1271
1114000	1292
1116000	1342
1118000	1282
1120000	1273
1122000	1244
1124000	1250
1126000	1283
1128000	1275
1130000	1321
1132000	1337
1134000	1325
1136000	1327
1138000	1294
1140000	1251
1142000	1293
1144000	1279
1146000	1285
1148000	1251
1150000	1313
1152000	1370
1154000	1343
1156000	1267
1158000	1323
1160000	1242
1162000	1349
1164000	1256
1166000	1278
1168000	1248
1170000	1241
1172000	1275
1174000	1274
1176000	1332
1178000	1292
1180000	1271
1182000	1336
1184000	1299
1186000	1177
1188000	1319
1190000	1297
1192000	1292
1194000	1267
1196000	1326
1198000	1270
1200000	1270
1202000	1292
1204000	1378
1206000	1349
1208000	1381
1210000	1274
1212000	1301
1214000	1342
1216000	1289
1218000	1300
1220000	1283
1222000	1369
1224000	1243
1226000	1301
1228000	1314
1230000	1260
1232000	1295
1234000	1295
1236000	1265
1238000	1321
1240000	1266
1242000	1315
1244000	1330
1246000	1276
1248000	1311
1250000	1301
1252000	1302
1254000	1301
1256000	1360
1258000	1349
1260000	1342
1262000	1341
1264000	1329
1266000	1289
1268000	1312
1270000	1351
1272000	1249
1274000	1320
1276000	1296
1278000	1253
1280000	1306
1282000	1335
1284000	1227
1286000	1293
1288000	1313
1290000	1292
1292000	1298
1294000	1296
1296000	1289
1298000	1224
1300000	1263
1302000	1246
1304000	1252
1306000	1295
1308000	1282
1310000	1263
1312000	1223
1314000	1251
1316000	1248
1318000	1274
1320000	1309
1322000	1345
1324000	1321
1326000	1313
1328000	1336
1330000	1319
1332000	1327
1334000	1273
1336000	1296
1338000	1339
1340000	1347
1342000	1237
1344000	1310
1346000	1307
1348000	1286
1350000	1317
1352000	1237
1354000	1285
1356000	1296
1358000	1306
1360000	1276
1362000	1258
1364000	1317
1366000	1310
1368000	1303
1370000	1338
1372000	1347
1374000	1350
1376000	1272
1378000	1242
1380000	1239
1382000	1278
1384000	1254
1386000	1276
1388000	1242
1390000	1306
1392000	1329
1394000	1279
1396000	1315
1398000	1286
1400000	1305
