time(ps)	counts
0	1071
5000	1099
10000	1102
15000	1004
20000	1042
25000	1125
30000	1004
35000	1013
40000	1021
45000	1032
50000	1040
55000	1084
60000	1014
65000	1071
70000	968
75000	1051
80000	994
85000	1137
90000	1268
95000	1217
100000	1210
105000	1186
110000	1256
115000	1233
120000	1166
125000	1185
130000	1167
135000	1142
140000	1187
145000	1206
150000	1265
155000	1211
160000	1182
165000	1208
170000	1299
175000	1172
180000	1201
185000	1204
190000	1151
195000	1153
200000	1126
205000	1176
210000	1262
215000	1196
220000	1152
225000	1278
230000	1239
235000	1185
240000	1113
245000	1160
250000	1147
255000	1178
260000	1203
265000	1174
270000	1096
275000	1099
280000	1095
285000	1159
290000	1284
295000	1304
300000	1250
305000	1240
310000	1290
315000	1215
320000	1237
325000	1270
330000	1219
335000	1184
340000	1180
345000	1172
350000	1186
355000	1160
360000	1123
365000	1132
370000	1135
375000	1195
380000	1175
385000	1155
390000	1265
395000	1370
400000	1231
405000	1272
410000	1354
415000	1236
420000	1281
425000	1198
430000	1207
435000	1199
440000	1146
445000	1200
450000	1184
455000	1208
460000	1181
465000	1176
470000	1223
475000	1212
480000	1162
485000	1116
490000	1118
495000	1157
500000	1126
505000	1084
510000	1288
515000	1243
520000	1280
525000	1287
530000	1187
535000	1195
540000	1162
545000	1266
550000	1181
555000	1161
560000	1186
565000	1185
570000	1179
575000	1208
580000	1184
585000	1154
590000	1176
595000	1101
600000	1119
605000	1131
610000	1103
615000	1125
620000	1161
625000	1124
630000	1137
635000	1100
640000	1052
645000	1096
650000	1228
655000	1289
660000	1249
665000	1165
670000	1203
675000	1247
680000	1184
685000	1259
690000	1272
695000	1158
700000	1098
705000	1192
710000	1167
715000	1181
720000	1159
725000	1184
730000	1157
735000	1062
740000	1152
745000	1182
750000	1194
755000	1204
760000	1177
765000	1137
770000	1209
775000	1098
780000	1136
785000	1089
790000	1110
795000	1099
800000	1095
805000	1104
810000	1217
815000	1214
820000	1133
825000	1181
830000	1155
835000	1161
840000	1131
845000	1202
850000	1150
855000	1137
860000	1096
865000	1177
870000	1159
875000	1189
880000	1095
885000	1202
890000	1161
895000	1115
900000	1193
905000	1126
910000	1190
915000	1098
920000	1140
925000	1128
930000	1056
935000	1109
940000	1111
945000	1118
950000	1086
955000	1112
960000	1152
965000	1133
970000	1054
975000	1167
980000	1147
985000	1101
990000	1114
995000	1161
1000000	1118
1005000	1152
1010000	1158
1015000	1097
1020000	1131
1025000	1095
1030000	1146
1035000	1141
1040000	1140
1045000	1065
1050000	1113
1055000	1173
1060000	1125
1065000	1136
1070000	1126
1075000	1123
1080000	1124
1085000	1124
1090000	1151
1095000	1142
1100000	1075
1105000	1095
1110000	1103
1115000	1143
1120000	1095
1125000	1125
1130000	1083
1135000	1103
1140000	1096
1145000	1138
1150000	1140
1155000	1102
1160000	1162
1165000	1078
1170000	1126
1175000	1097
1180000	1120
1185000	1061
1190000	1128
1195000	1097
1200000	1149
1205000	1131
1210000	1137
1215000	1049
1220000	1059
1225000	1072
1230000	1101
1235000	1114
1240000	1147
1245000	1114
1250000	1157
1255000	1049
1260000	1161
1265000	1085
1270000	1104
1275000	1124
1280000	1077
1285000	1024
1290000	1124
1295000	1083
1300000	1132
1305000	1072
1310000	1057
1315000	1087
1320000	1122
1325000	1028
1330000	1080
1335000	1098
1340000	1099
1345000	1078
1350000	1053
1355000	1087
1360000	1151
1365000	1127
1370000	1070
1375000	1071
1380000	1141
1385000	1194
1390000	1115
1395000	1071
1400000	1082
1405000	1136
1410000	1095
1415000	1105
1420000	1142
1425000	1085
1430000	1076
1435000	1051
1440000	1085
1445000	1161
1450000	1088
1455000	1134
1460000	1144
1465000	1122
1470000	1096
1475000	1082
1480000	1107
1485000	1039
1490000	1147
1495000	1121
1500000	1056
1505000	1082
1510000	1054
1515000	1132
1520000	1102
1525000	1027
1530000	1060
1535000	1082
1540000	982
1545000	1047
1550000	1119
1555000	1109
1560000	1104
1565000	1073
1570000	1105
1575000	1093
1580000	1059
1585000	1120
1590000	1085
1595000	1143
1600000	1036
1605000	1027
1610000	1118
1615000	1138
1620000	1072
1625000	1049
1630000	1102
1635000	1135
1640000	1096
1645000	1091
1650000	1175
1655000	1113
1660000	1152
1665000	1126
1670000	1124
1675000	1149
1680000	1160
1685000	1050
1690000	1183
1695000	1080
1700000	1112
1705000	1062
1710000	1092
1715000	1132
1720000	1109
1725000	1139
1730000	1122
1735000	1088
1740000	1143
1745000	1084
1750000	1133
1755000	1113
1760000	1103
1765000	1076
1770000	1163
1775000	1109
1780000	1075
1785000	1137
1790000	1113
1795000	1130
1800000	1134
1805000	1083
1810000	1117
1815000	1089
1820000	1094
1825000	1099
1830000	1134
1835000	1085
1840000	1125
1845000	1074
1850000	1099
1855000	1103
1860000	1126
1865000	1059
1870000	1103
1875000	1040
1880000	1094
1885000	1056
1890000	1106
1895000	1079
1900000	1142
1905000	1127
1910000	1161
1915000	1193
1920000	1166
1925000	1124
1930000	1165
1935000	1189
1940000	1126
1945000	1170
1950000	1160
1955000	1083
1960000	1085
1965000	1124
1970000	1065
1975000	1126
1980000	1130
1985000	1092
1990000	1109
1995000	1131
2000000	1090
2005000	1106
2010000	1084
2015000	1075
2020000	1111
2025000	1176
2030000	1116
2035000	1127
2040000	1114
2045000	1084
2050000	1145
2055000	1110
2060000	1088
2065000	1111
2070000	1082
2075000	1153
2080000	1073
2085000	1088
2090000	1082
2095000	1105
2100000	1128
2105000	1150
2110000	1090
2115000	1088
2120000	1105
2125000	1086
2130000	1111
2135000	1108
2140000	1126
2145000	1050
2150000	1096
2155000	1059
2160000	1083
2165000	1145
2170000	1101
2175000	1129
2180000	1064
2185000	1138
2190000	1232
2195000	1217
2200000	1232
2205000	1287
2210000	1218
2215000	1184
2220000	1191
2225000	1183
2230000	1202
2235000	1196
2240000	1150
2245000	1125
2250000	1134
2255000	1167
2260000	1139
2265000	1147
2270000	1119
2275000	1089
2280000	1114
2285000	1096
2290000	1179
2295000	1180
2300000	1100
2305000	1105
2310000	1148
2315000	1115
2320000	1135
2325000	1157
2330000	1029
2335000	1106
2340000	1098
2345000	1140
2350000	1097
2355000	1079
2360000	1084
2365000	1096
2370000	1100
2375000	1137
2380000	1205
2385000	1099
2390000	1058
2395000	1085
2400000	1116
2405000	1113
2410000	1118
2415000	1143
2420000	1083
2425000	1064
2430000	1131
2435000	1129
2440000	1166
2445000	1101
2450000	1091
2455000	1098
2460000	1158
2465000	1085
2470000	1086
2475000	1097
2480000	1063
2485000	1152
2490000	1293
2495000	1303
2500000	1299
2505000	1288
2510000	1196
2515000	1279
2520000	1167
2525000	1154
2530000	1180
2535000	1225
2540000	1204
2545000	1137
2550000	1117
2555000	1140
2560000	1161
2565000	1154
2570000	1136
2575000	1177
2580000	1144
2585000	1153
2590000	1158
2595000	1147
2600000	1133
2605000	1141
