x0000,y0000
0,5,
2.9998e-08,3,
5.9996e-08,5,
8.9994e-08,3,
1.19992e-07,3,
1.4999e-07,3,
1.79988e-07,3,
2.09986e-07,30,
2.39984e-07,595,
2.69982e-07,634,
2.9998e-07,576,
3.29978e-07,591,
3.59976e-07,526,
3.89974e-07,558,
4.19972e-07,512,
4.4997e-07,510,
4.79968e-07,507,
5.09966e-07,442,
5.39964e-07,439,
5.69962e-07,477,
5.9996e-07,461,
6.29958e-07,425,
6.59956e-07,426,
6.89954e-07,376,
7.19952e-07,413,
7.4995e-07,355,
7.79948e-07,407,
8.09946e-07,359,
8.39944e-07,338,
8.69942e-07,360,
8.9994e-07,376,
9.29938e-07,374,
9.59936e-07,339,
9.89934e-07,335,
1.019932e-06,328,
1.04993e-06,321,
1.079928e-06,315,
1.109926e-06,341,
1.139924e-06,322,
1.169922e-06,301,
1.19992e-06,311,
1.229918e-06,310,
1.259916e-06,323,
1.289914e-06,318,
1.319912e-06,298,
1.34991e-06,316,
1.379908e-06,305,
1.409906e-06,313,
1.439904e-06,290,
1.469902e-06,306,
1.4999e-06,269,
1.529898e-06,251,
1.559896e-06,276,
1.589894e-06,301,
1.619892e-06,284,
1.64989e-06,283,
1.679888e-06,291,
1.709886e-06,292,
1.739884e-06,271,
1.769882e-06,287,
1.79988e-06,260,
1.829878e-06,260,
1.859876e-06,261,
1.889874e-06,278,
1.919872e-06,246,
1.94987e-06,274,
1.979868e-06,293,
2.009866e-06,258,
2.039864e-06,266,
2.069862e-06,254,
2.09986e-06,269,
2.129858e-06,281,
2.159856e-06,283,
2.189854e-06,250,
2.219852e-06,251,
2.24985e-06,262,
2.279848e-06,250,
2.309846e-06,287,
2.339844e-06,256,
2.369842e-06,286,
2.39984e-06,247,
2.429838e-06,274,
2.459836e-06,276,
2.489834e-06,280,
2.519832e-06,272,
2.54983e-06,295,
2.579828e-06,286,
2.609826e-06,249,
2.639824e-06,261,
2.669822e-06,248,
2.69982e-06,271,
2.729818e-06,250,
2.759816e-06,251,
2.789814e-06,275,
2.819812e-06,277,
2.84981e-06,245,
2.879808e-06,269,
2.909806e-06,287,
2.939804e-06,257,
2.969802e-06,287,
2.9998e-06,276,
3.029798e-06,243,
3.059796e-06,286,
3.089794e-06,258,
3.119792e-06,261,
3.14979e-06,272,
3.179788e-06,250,
3.209786e-06,260,
3.239784e-06,268,
3.269782e-06,267,
3.29978e-06,271,
3.329778e-06,233,
3.359776e-06,265,
3.389774e-06,286,
3.419772e-06,264,
3.44977e-06,265,
3.479768e-06,262,
3.509766e-06,261,
3.539764e-06,276,
3.569762e-06,267,
3.59976e-06,252,
3.629758e-06,264,
3.659756e-06,274,
3.689754e-06,280,
3.719752e-06,253,
3.74975e-06,269,
