#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 13h41m18s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.4416637372970581e+02
#Measurement sweeps: -1
#Number of laser pulses: 60
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 4e-08, 'signal_end': 2.8e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 1.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 3.7085e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(Hz)	Signal
4.720000000000000e+09	2.848333333333333e+02
4.721000000000000e+09	2.963333333333333e+02
4.722000000000000e+09	2.935000000000000e+02
4.723000000000000e+09	2.910000000000000e+02
4.724000000000000e+09	2.956666666666667e+02
4.725000000000000e+09	2.940000000000000e+02
4.726000000000000e+09	3.008333333333333e+02
4.727000000000000e+09	2.943333333333333e+02
4.728000000000000e+09	3.075000000000000e+02
4.729000000000000e+09	2.925000000000000e+02
4.730000000000000e+09	2.955000000000000e+02
4.731000000000000e+09	2.893333333333333e+02
4.732000000000000e+09	2.961666666666667e+02
4.733000000000000e+09	2.776666666666667e+02
4.734000000000000e+09	2.876666666666667e+02
4.735000000000000e+09	2.461666666666667e+02
4.736000000000000e+09	2.580000000000000e+02
4.737000000000000e+09	2.075000000000000e+02
4.738000000000000e+09	1.668333333333333e+02
4.739000000000000e+09	2.041666666666667e+02
4.740000000000000e+09	2.400000000000000e+02
4.741000000000000e+09	2.621666666666667e+02
4.742000000000000e+09	2.821666666666667e+02
4.743000000000000e+09	2.880000000000000e+02
4.744000000000000e+09	2.980000000000000e+02
4.745000000000000e+09	2.983333333333333e+02
4.746000000000000e+09	3.143333333333333e+02
4.747000000000000e+09	3.110000000000000e+02
4.748000000000000e+09	3.186666666666667e+02
4.749000000000000e+09	3.308333333333333e+02
4.750000000000000e+09	3.058333333333333e+02
4.751000000000000e+09	3.126666666666667e+02
4.752000000000000e+09	3.153333333333333e+02
4.753000000000000e+09	3.116666666666667e+02
4.754000000000000e+09	3.028333333333333e+02
4.755000000000000e+09	3.165000000000000e+02
4.756000000000000e+09	2.998333333333333e+02
4.757000000000000e+09	2.995000000000000e+02
4.758000000000000e+09	2.930000000000000e+02
4.759000000000000e+09	2.920000000000000e+02
4.760000000000000e+09	2.971666666666667e+02
4.761000000000000e+09	2.863333333333333e+02
4.762000000000000e+09	2.761666666666667e+02
4.763000000000000e+09	2.748333333333333e+02
4.764000000000000e+09	2.675000000000000e+02
4.765000000000000e+09	2.766666666666667e+02
4.766000000000000e+09	2.565000000000000e+02
4.767000000000000e+09	2.455000000000000e+02
4.768000000000000e+09	2.430000000000000e+02
4.769000000000000e+09	2.393333333333333e+02
4.770000000000000e+09	2.345000000000000e+02
4.771000000000000e+09	2.303333333333333e+02
4.772000000000000e+09	2.175000000000000e+02
4.773000000000000e+09	2.136666666666667e+02
4.774000000000000e+09	2.056666666666667e+02
4.775000000000000e+09	2.041666666666667e+02
4.776000000000000e+09	1.945000000000000e+02
4.777000000000000e+09	1.801666666666667e+02
4.778000000000000e+09	1.841666666666667e+02
4.779000000000000e+09	1.715000000000000e+02
