#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h04m00s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 2.7464389491081238e+02
#Measurement sweeps: -1
#Number of laser pulses: 19
#Laser ignore indices: [0]
#alternating: False
#analysis parameters: {'signal_start': 1.05e-06, 'signal_end': 1.986e-06, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 8.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 3e-09, 'record_length': 5.8404e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-07	1.747756410256410e+01
2.000000000000000e-07	1.605769230769231e+01
3.000000000000000e-07	1.563461538461539e+01
4.000000000000000e-07	1.441987179487180e+01
5.000000000000000e-07	1.299679487179487e+01
6.000000000000000e-07	1.145192307692308e+01
7.000000000000000e-07	1.008974358974359e+01
8.000000000000000e-07	5.522435897435898e+00
9.000000000000000e-07	3.108974358974359e+00
1.000000000000000e-06	3.240384615384615e+00
1.100000000000000e-06	3.025641025641026e+00
1.200000000000000e-06	3.352564102564103e+00
1.300000000000000e-06	3.179487179487179e+00
1.400000000000000e-06	3.153846153846154e+00
1.500000000000000e-06	3.278846153846154e+00
1.600000000000000e-06	3.185897435897436e+00
1.700000000000000e-06	3.285256410256410e+00
1.800000000000000e-06	3.166666666666667e+00
