#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h52m43s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 4.2325601077079773e+02
#Measurement sweeps: -1
#Number of laser pulses: 90
#Laser ignore indices: [1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 22, 23, 25, 26, 28, 29, 31, 32, 34, 35, 37, 38, 40, 41, 43, 44, 46, 47, 49, 50, 52, 53, 55, 56, 58, 59, 61, 62, 64, 65, 67, 68, 70, 71, 73, 74, 76, 77, 79, 80, 82, 83, 85, 86, 88, 89]
#alternating: False
#analysis parameters: {'signal_start': 1.5000000000000002e-08, 'signal_end': 2.6e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.4875e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
5.000000000000000e-08	4.869387755102041e+01
1.000000000000000e-07	8.069387755102041e+01
1.500000000000000e-07	7.622448979591837e+01
2.000000000000000e-07	8.089795918367346e+01
2.500000000000000e-07	8.265306122448979e+01
3.000000000000000e-07	9.238775510204081e+01
3.500000000000000e-07	6.353061224489796e+01
4.000000000000000e-07	6.832653061224489e+01
4.500000000000000e-07	6.830612244897959e+01
5.000000000000000e-07	6.528571428571429e+01
5.500000000000000e-07	6.785714285714286e+01
6.000000000000000e-07	6.297959183673469e+01
6.499999999999999e-07	6.259183673469388e+01
6.999999999999999e-07	6.277551020408163e+01
7.500000000000000e-07	6.032653061224489e+01
8.000000000000000e-07	6.171428571428572e+01
8.499999999999999e-07	6.036734693877551e+01
8.999999999999999e-07	9.283673469387755e+01
9.500000000000000e-07	9.257142857142857e+01
1.000000000000000e-06	9.485714285714286e+01
1.050000000000000e-06	9.363265306122449e+01
1.100000000000000e-06	9.240816326530613e+01
1.150000000000000e-06	9.110204081632654e+01
1.200000000000000e-06	9.138775510204081e+01
1.250000000000000e-06	9.369387755102041e+01
1.300000000000000e-06	8.991836734693878e+01
1.350000000000000e-06	8.226530612244898e+01
1.400000000000000e-06	8.495918367346938e+01
1.450000000000000e-06	8.108163265306122e+01
1.500000000000000e-06	5.444897959183673e+01
