#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h55m32s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.3655555748939514e+02
#Measurement sweeps: -1
#Number of laser pulses: 90
#Laser ignore indices: [1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 22, 23, 25, 26, 28, 29, 31, 32, 34, 35, 37, 38, 40, 41, 43, 44, 46, 47, 49, 50, 52, 53, 55, 56, 58, 59, 61, 62, 64, 65, 67, 68, 70, 71, 73, 74, 76, 77, 79, 80, 82, 83, 85, 86, 88, 89]
#alternating: False
#analysis parameters: {'signal_start': 2e-08, 'signal_end': 3.25e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.4875e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
5.000000000000000e-08	1.711475409836066e+01
1.000000000000000e-07	2.400000000000000e+01
1.500000000000000e-07	2.559016393442623e+01
2.000000000000000e-07	2.901639344262295e+01
2.500000000000000e-07	2.849180327868853e+01
3.000000000000000e-07	2.018032786885246e+01
3.500000000000000e-07	1.995081967213115e+01
4.000000000000000e-07	2.118032786885246e+01
4.500000000000000e-07	2.654098360655738e+01
5.000000000000000e-07	2.968852459016393e+01
5.500000000000000e-07	2.916393442622951e+01
6.000000000000000e-07	1.796721311475410e+01
6.499999999999999e-07	2.073770491803279e+01
6.999999999999999e-07	2.963934426229508e+01
7.500000000000000e-07	2.770491803278689e+01
8.000000000000000e-07	2.600000000000000e+01
8.499999999999999e-07	1.877049180327869e+01
8.999999999999999e-07	1.759016393442623e+01
9.500000000000000e-07	1.867213114754098e+01
1.000000000000000e-06	1.862295081967213e+01
1.050000000000000e-06	1.819672131147541e+01
1.100000000000000e-06	2.914754098360656e+01
1.150000000000000e-06	2.877049180327869e+01
1.200000000000000e-06	2.855737704918033e+01
1.250000000000000e-06	2.963934426229508e+01
1.300000000000000e-06	2.855737704918033e+01
1.350000000000000e-06	2.714754098360656e+01
1.400000000000000e-06	2.624590163934426e+01
1.450000000000000e-06	1.806557377049180e+01
1.500000000000000e-06	1.768852459016393e+01
