#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 17h07m45s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 3.1500588369369507e+02
#Measurement sweeps: -1
#Number of laser pulses: 156
#Laser ignore indices: [0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 114, 116, 117, 118, 120, 121, 122, 124, 125, 126, 128, 129, 130, 132, 133, 134, 136, 137, 138, 140, 141, 142, 144, 145, 146, 148, 149, 150, 152, 153, 154]
#alternating: False
#analysis parameters: {'signal_start': 1.215e-06, 'signal_end': 1.42e-06, 'norm_start': 1.5000000000000002e-08, 'norm_end': 3.4500000000000003e-07, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 1.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.6825e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.000000000000000e-08	6.722536269122821e-01
4.000000000000000e-08	6.218943805181190e-01
6.000000000000001e-08	6.145410340635751e-01
8.000000000000000e-08	1.093605800922874e+00
1.000000000000000e-07	1.083149495907469e+00
1.200000000000000e-07	4.315955234466095e-01
1.400000000000000e-07	3.922866776599149e-01
1.600000000000000e-07	3.191897812015456e-01
1.800000000000000e-07	2.406421105027377e-01
2.000000000000000e-07	2.752987898542580e-01
2.200000000000000e-07	2.545100662976704e-01
2.400000000000000e-07	2.500059372550882e-01
2.600000000000001e-07	2.522752093192574e-01
2.800000000000000e-07	2.524800114050824e-01
3.000000000000000e-07	2.403923595667697e-01
3.200000000000000e-07	1.907705812276632e+00
3.400000000000000e-07	1.687862606436715e+00
3.600000000000000e-07	6.055682989961910e-01
3.800000000000000e-07	5.589341355968624e-01
4.000000000000000e-07	1.730257839721254e+00
4.200000000000000e-07	5.442634066569610e-01
4.400000000000000e-07	5.875472638883118e-01
4.600000000000000e-07	6.016325648556525e-01
4.800000000000000e-07	5.677039529015980e-01
5.000000000000001e-07	6.138955895053456e-01
5.200000000000000e-07	6.729862676778028e-01
5.400000000000000e-07	6.564388365321394e-01
5.600000000000000e-07	7.008921263709280e-01
5.800000000000001e-07	1.735459662288931e+00
6.000000000000001e-07	8.650364596429470e-01
6.200000000000000e-07	8.019201466004043e-01
6.400000000000000e-07	7.313508214253884e-01
6.600000000000000e-07	2.625605307642446e-01
6.800000000000001e-07	6.654106624573553e-01
7.000000000000001e-07	5.848824797083645e-01
7.200000000000000e-07	2.616476629162576e-01
7.400000000000000e-07	2.352970102281668e-01
7.600000000000000e-07	1.745105545225856e+00
7.800000000000000e-07	4.089615369411393e-01
