time(ps)	counts
0	1394
5000	1483
10000	1383
15000	1401
20000	1377
25000	1390
30000	1456
35000	1397
40000	1366
45000	1363
50000	1362
55000	1441
60000	1313
65000	1384
70000	1421
75000	1427
80000	1336
85000	1507
90000	1557
95000	1543
100000	1591
105000	1489
110000	1504
115000	1520
120000	1526
125000	1475
130000	1559
135000	1500
140000	1490
145000	1486
150000	1442
155000	1513
160000	1519
165000	1517
170000	1464
175000	1327
180000	1466
185000	1405
190000	1346
195000	1379
200000	1407
205000	1526
210000	1484
215000	1543
220000	1563
225000	1455
230000	1450
235000	1487
240000	1467
245000	1421
250000	1463
255000	1407
260000	1466
265000	1502
270000	1363
275000	1361
280000	1409
285000	1510
290000	1602
295000	1651
300000	1489
305000	1547
310000	1546
315000	1489
320000	1479
325000	1495
330000	1413
335000	1404
340000	1489
345000	1432
350000	1422
355000	1416
360000	1440
365000	1428
370000	1391
375000	1434
380000	1406
385000	1471
390000	1586
395000	1589
400000	1602
405000	1561
410000	1545
415000	1516
420000	1475
425000	1532
430000	1452
435000	1454
440000	1386
445000	1467
450000	1489
455000	1497
460000	1409
465000	1448
470000	1384
475000	1455
480000	1350
485000	1440
490000	1335
495000	1398
500000	1384
505000	1453
510000	1575
515000	1644
520000	1536
525000	1556
530000	1585
535000	1469
540000	1520
545000	1432
550000	1496
555000	1502
560000	1425
565000	1427
570000	1471
575000	1440
580000	1457
585000	1397
590000	1446
595000	1476
600000	1425
605000	1409
610000	1382
615000	1313
620000	1355
625000	1397
630000	1389
635000	1388
640000	1412
645000	1408
650000	1554
655000	1472
660000	1488
665000	1548
670000	1550
675000	1522
680000	1453
685000	1471
690000	1418
695000	1429
700000	1411
705000	1464
710000	1429
715000	1434
720000	1440
725000	1425
730000	1440
735000	1406
740000	1397
745000	1410
750000	1490
755000	1398
760000	1396
765000	1370
770000	1439
775000	1407
780000	1379
785000	1370
790000	1348
795000	1420
800000	1424
805000	1409
810000	1458
815000	1472
820000	1480
825000	1497
830000	1517
835000	1432
840000	1401
845000	1432
850000	1428
855000	1393
860000	1456
865000	1330
870000	1445
875000	1378
880000	1406
885000	1406
890000	1383
895000	1388
900000	1364
905000	1392
910000	1359
915000	1386
920000	1441
925000	1370
930000	1450
935000	1404
940000	1403
945000	1458
950000	1342
