time(ps)	counts
0	5
400000	9
800000	6
1200000	67
1600000	147
2000000	135
2400000	108
2800000	114
3200000	79
3600000	108
4000000	106
4400000	73
4800000	77
5200000	74
5600000	59
6000000	98
6400000	77
6800000	75
7200000	72
7600000	68
8000000	53
8400000	59
8800000	63
9200000	59
9600000	56
10000000	53
10400000	57
10800000	67
11200000	51
11600000	51
12000000	52
12400000	41
12800000	59
13200000	53
13600000	54
14000000	52
14400000	57
14800000	59
15200000	53
15600000	61
16000000	58
16400000	59
16800000	47
17200000	49
17600000	67
18000000	50
18400000	43
18800000	46
19200000	61
19600000	46
20000000	43
20400000	54
20800000	58
21200000	44
21600000	65
22000000	45
22400000	62
22800000	43
23200000	55
23600000	58
24000000	41
24400000	48
24800000	46
25200000	39
25600000	50
26000000	52
26400000	59
26800000	65
27200000	48
27600000	59
28000000	44
28400000	51
28800000	48
29200000	50
29600000	55
30000000	47
30400000	60
30800000	61
31200000	32
31600000	6
32000000	10
32400000	10
32800000	6
33200000	12
33600000	7
34000000	6
34400000	6
34800000	9
35200000	12
35600000	5
36000000	11
36400000	59
36800000	55
37200000	59
37600000	64
38000000	62
38400000	55
38800000	54
39200000	43
39600000	61
40000000	64
40400000	52
40800000	57
41200000	64
41600000	50
42000000	59
42400000	50
42800000	53
43200000	55
43600000	55
44000000	58
44400000	47
44800000	45
45200000	48
45600000	51
46000000	54
46400000	46
46800000	54
47200000	44
47600000	57
48000000	43
48400000	47
48800000	51
49200000	53
49600000	51
50000000	52
50400000	61
50800000	31
51200000	50
51600000	53
52000000	49
52400000	50
52800000	76
53200000	57
53600000	62
54000000	48
54400000	68
54800000	55
55200000	53
55600000	58
56000000	54
56400000	48
56800000	47
57200000	65
57600000	43
58000000	43
58400000	44
58800000	58
59200000	53
59600000	48
60000000	55
60400000	49
60800000	52
61200000	48
61600000	67
62000000	53
62400000	65
62800000	54
63200000	38
63600000	48
64000000	44
64400000	60
64800000	50
65200000	57
65600000	57
66000000	44
66400000	12
66800000	3
67200000	7
67600000	5
68000000	4
68400000	4
68800000	7
69200000	5
69600000	3
70000000	11
70400000	3
70800000	6
71200000	8
71600000	8
72000000	7
72400000	10
72800000	10
73200000	12
73600000	4
74000000	8
74400000	8
74800000	9
75200000	8
75600000	4
76000000	9
76400000	90
76800000	78
77200000	68
77600000	59
78000000	68
78400000	58
78800000	64
79200000	79
79600000	61
80000000	72
80400000	56
80800000	57
81200000	47
81600000	55
82000000	50
82400000	65
82800000	41
83200000	47
83600000	47
84000000	61
84400000	58
84800000	53
85200000	46
85600000	48
86000000	54
86400000	56
86800000	55
87200000	54
87600000	55
88000000	53
88400000	49
88800000	55
89200000	53
89600000	52
90000000	44
90400000	40
90800000	51
91200000	56
91600000	59
92000000	40
92400000	54
92800000	50
93200000	58
93600000	58
94000000	54
94400000	50
94800000	46
95200000	62
95600000	52
96000000	63
96400000	45
96800000	38
97200000	53
97600000	43
98000000	62
98400000	51
98800000	56
99200000	46
99600000	50
100000000	53
100400000	47
100800000	53
101200000	51
101600000	57
102000000	61
102400000	61
102800000	56
103200000	46
103600000	53
104000000	51
104400000	62
104800000	55
105200000	38
105600000	50
106000000	44
106400000	13
106800000	8
107200000	12
107600000	6
108000000	7
108400000	9
108800000	7
109200000	6
109600000	10
110000000	7
110400000	9
110800000	6
111200000	4
111600000	9
112000000	6
112400000	8
112800000	9
113200000	5
113600000	11
114000000	11
114400000	8
114800000	7
115200000	5
115600000	5
116000000	12
116400000	4
116800000	7
117200000	7
117600000	7
118000000	11
118400000	7
118800000	6
119200000	9
119600000	9
120000000	7
120400000	10
120800000	8
121200000	67
121600000	102
122000000	76
122400000	71
122800000	61
123200000	70
123600000	60
124000000	64
124400000	79
124800000	66
125200000	63
125600000	51
126000000	69
126400000	70
126800000	41
127200000	48
127600000	49
128000000	66
128400000	72
128800000	55
129200000	64
129600000	55
130000000	66
130400000	49
130800000	66
131200000	61
131600000	43
132000000	78
132400000	63
132800000	58
133200000	52
133600000	52
134000000	54
134400000	58
134800000	58
135200000	52
135600000	40
136000000	56
136400000	64
136800000	65
137200000	53
137600000	52
138000000	54
138400000	59
138800000	44
139200000	55
139600000	46
140000000	53
140400000	55
140800000	44
141200000	48
141600000	52
142000000	67
142400000	36
142800000	47
143200000	54
143600000	61
144000000	66
144400000	52
144800000	64
145200000	55
145600000	44
146000000	57
146400000	44
146800000	45
147200000	60
147600000	46
148000000	60
148400000	47
148800000	63
149200000	40
149600000	54
150000000	61
150400000	44
150800000	56
151200000	42
151600000	5
152000000	9
152400000	11
152800000	5
153200000	3
153600000	3
154000000	9
154400000	9
154800000	6
155200000	7
155600000	3
156000000	3
156400000	7
156800000	8
157200000	8
157600000	6
158000000	11
158400000	7
158800000	6
159200000	5
159600000	6
160000000	7
160400000	11
160800000	5
161200000	6
161600000	14
162000000	8
162400000	10
162800000	13
163200000	10
163600000	8
164000000	5
164400000	10
164800000	12
165200000	4
165600000	5
166000000	10
166400000	9
166800000	7
167200000	10
167600000	11
168000000	7
168400000	6
168800000	5
169200000	5
169600000	6
170000000	8
170400000	9
170800000	12
171200000	54
171600000	111
172000000	90
172400000	87
172800000	77
173200000	77
173600000	72
174000000	78
174400000	67
174800000	82
175200000	76
175600000	55
176000000	64
176400000	55
176800000	58
177200000	60
177600000	69
178000000	52
178400000	51
178800000	54
179200000	63
179600000	54
180000000	52
180400000	57
180800000	59
181200000	51
181600000	50
182000000	58
182400000	41
182800000	53
183200000	61
183600000	58
184000000	43
184400000	51
184800000	60
185200000	46
185600000	56
186000000	53
186400000	52
186800000	49
187200000	44
187600000	48
188000000	49
188400000	62
188800000	59
189200000	54
189600000	57
190000000	55
190400000	58
190800000	48
191200000	56
191600000	50
192000000	53
192400000	55
192800000	36
193200000	70
193600000	72
194000000	44
194400000	42
194800000	62
195200000	44
195600000	50
196000000	56
196400000	57
196800000	44
197200000	46
197600000	59
198000000	62
198400000	42
198800000	47
199200000	58
199600000	63
200000000	53
200400000	51
200800000	50
201200000	25
201600000	8
202000000	6
202400000	7
202800000	6
203200000	8
203600000	11
204000000	12
204400000	13
204800000	5
205200000	7
205600000	7
206000000	4
206400000	6
206800000	8
207200000	8
207600000	6
208000000	4
208400000	11
208800000	5
209200000	7
209600000	7
210000000	6
210400000	7
210800000	6
211200000	6
211600000	2
212000000	8
212400000	7
212800000	13
213200000	5
213600000	8
214000000	3
214400000	7
214800000	9
215200000	4
215600000	8
216000000	7
216400000	3
216800000	13
217200000	9
217600000	7
218000000	8
218400000	6
218800000	8
219200000	7
219600000	5
220000000	3
220400000	10
220800000	5
221200000	6
221600000	8
222000000	10
222400000	6
222800000	7
223200000	6
223600000	7
224000000	10
224400000	6
224800000	4
225200000	4
225600000	9
226000000	5
226400000	105
226800000	93
227200000	99
227600000	95
228000000	88
228400000	74
228800000	91
229200000	77
229600000	75
230000000	64
230400000	75
230800000	66
231200000	58
231600000	60
232000000	54
232400000	63
232800000	68
233200000	67
233600000	65
234000000	48
234400000	64
234800000	47
235200000	59
235600000	55
236000000	60
236400000	55
236800000	52
237200000	58
237600000	55
238000000	52
238400000	47
238800000	54
239200000	50
239600000	53
240000000	53
240400000	41
240800000	49
241200000	47
241600000	60
242000000	44
242400000	41
242800000	45
243200000	59
243600000	51
244000000	49
244400000	55
244800000	44
245200000	50
245600000	54
246000000	68
246400000	60
246800000	53
247200000	45
247600000	55
248000000	56
248400000	49
248800000	46
249200000	51
249600000	65
250000000	55
250400000	33
250800000	48
251200000	62
251600000	36
252000000	55
252400000	53
252800000	52
253200000	49
253600000	61
254000000	44
254400000	58
254800000	48
255200000	69
255600000	57
256000000	56
256400000	11
256800000	7
257200000	7
257600000	6
258000000	7
258400000	9
258800000	7
259200000	12
259600000	5
260000000	5
260400000	5
260800000	12
261200000	4
261600000	10
262000000	5
262400000	5
262800000	5
263200000	7
263600000	7
264000000	6
264400000	7
264800000	8
265200000	6
265600000	2
266000000	10
266400000	5
266800000	6
267200000	2
267600000	4
268000000	10
268400000	4
268800000	4
269200000	3
269600000	11
270000000	6
270400000	10
270800000	5
271200000	7
271600000	7
272000000	4
272400000	9
272800000	6
273200000	9
273600000	7
274000000	4
274400000	8
274800000	7
275200000	7
275600000	4
276000000	7
276400000	8
276800000	7
277200000	10
277600000	5
278000000	9
278400000	4
278800000	7
279200000	8
279600000	7
280000000	7
280400000	7
280800000	4
281200000	5
281600000	8
282000000	6
282400000	6
282800000	2
283200000	8
283600000	7
284000000	11
284400000	13
284800000	9
285200000	11
285600000	7
286000000	10
286400000	118
286800000	111
287200000	101
287600000	94
288000000	92
288400000	82
288800000	69
289200000	60
289600000	68
290000000	86
290400000	66
290800000	74
291200000	59
291600000	69
292000000	57
292400000	74
292800000	50
293200000	51
293600000	64
294000000	58
294400000	47
294800000	74
295200000	60
295600000	63
296000000	58
296400000	59
296800000	53
297200000	57
297600000	58
298000000	63
298400000	57
298800000	51
299200000	57
299600000	40
300000000	56
300400000	62
300800000	64
301200000	54
301600000	51
302000000	38
302400000	47
302800000	63
303200000	57
303600000	46
304000000	66
304400000	58
304800000	48
305200000	62
305600000	43
306000000	49
306400000	56
306800000	64
307200000	52
307600000	48
308000000	65
308400000	60
308800000	38
309200000	52
309600000	41
310000000	53
310400000	51
310800000	65
311200000	65
311600000	47
312000000	57
312400000	65
312800000	53
313200000	71
313600000	51
314000000	43
314400000	48
314800000	51
315200000	44
315600000	48
316000000	42
316400000	6
316800000	7
317200000	7
317600000	5
318000000	7
318400000	4
318800000	6
319200000	7
319600000	7
320000000	4
320400000	8
320800000	2
321200000	5
321600000	9
322000000	9
322400000	7
322800000	3
323200000	7
323600000	5
324000000	5
324400000	6
324800000	7
325200000	2
325600000	10
326000000	9
326400000	6
326800000	19
327200000	13
327600000	4
328000000	5
328400000	8
328800000	11
329200000	6
329600000	5
330000000	6
330400000	7
330800000	6
331200000	7
331600000	6
332000000	8
332400000	6
332800000	6
333200000	4
333600000	6
334000000	12
334400000	4
334800000	7
335200000	12
335600000	9
336000000	9
336400000	4
336800000	5
337200000	9
337600000	8
338000000	5
338400000	4
338800000	7
339200000	8
339600000	6
340000000	9
340400000	6
340800000	10
341200000	7
341600000	7
342000000	5
342400000	7
342800000	11
343200000	5
343600000	3
344000000	3
344400000	7
344800000	4
345200000	6
345600000	7
346000000	12
346400000	4
346800000	12
347200000	3
347600000	2
348000000	10
348400000	9
348800000	3
349200000	6
349600000	7
350000000	6
350400000	5
350800000	4
351200000	63
351600000	108
352000000	116
352400000	94
352800000	82
353200000	83
353600000	80
354000000	89
354400000	85
354800000	69
355200000	66
355600000	81
356000000	58
356400000	77
356800000	66
357200000	59
357600000	58
358000000	54
358400000	66
358800000	69
359200000	54
359600000	60
360000000	52
360400000	59
360800000	53
361200000	60
361600000	57
362000000	61
362400000	54
362800000	51
363200000	47
363600000	55
364000000	57
364400000	55
364800000	45
365200000	66
365600000	47
366000000	45
366400000	47
366800000	62
367200000	48
367600000	49
368000000	62
368400000	63
368800000	48
369200000	54
369600000	53
370000000	58
370400000	50
370800000	51
371200000	52
371600000	50
372000000	56
372400000	55
372800000	48
373200000	41
373600000	48
374000000	52
374400000	61
374800000	50
375200000	50
375600000	57
376000000	63
376400000	47
376800000	62
377200000	50
377600000	53
378000000	54
378400000	67
378800000	55
379200000	57
379600000	47
380000000	48
380400000	69
380800000	48
381200000	30
381600000	4
382000000	4
382400000	7
382800000	15
383200000	11
383600000	4
384000000	7
384400000	8
384800000	6
385200000	8
385600000	2
386000000	4
386400000	9
386800000	6
387200000	10
387600000	12
388000000	5
388400000	8
388800000	4
389200000	7
389600000	8
390000000	13
390400000	6
390800000	8
391200000	8
391600000	12
392000000	6
392400000	7
392800000	9
393200000	8
393600000	8
394000000	8
394400000	8
394800000	8
395200000	12
395600000	6
396000000	8
396400000	11
396800000	5
397200000	9
397600000	7
398000000	6
398400000	5
398800000	5
399200000	9
399600000	7
400000000	13
400400000	7
400800000	9
401200000	7
401600000	6
402000000	5
402400000	3
402800000	6
403200000	8
403600000	7
404000000	6
404400000	5
404800000	8
405200000	8
405600000	7
406000000	6
406400000	4
406800000	7
407200000	7
407600000	5
408000000	8
408400000	7
408800000	7
409200000	5
409600000	9
410000000	3
410400000	11
410800000	9
411200000	4
411600000	5
412000000	4
412400000	10
412800000	6
413200000	7
413600000	10
414000000	5
414400000	11
414800000	10
415200000	6
415600000	5
416000000	13
416400000	7
416800000	4
417200000	3
417600000	8
418000000	6
418400000	12
418800000	12
419200000	4
419600000	10
420000000	8
420400000	16
420800000	5
421200000	63
421600000	146
422000000	109
422400000	122
422800000	92
423200000	108
423600000	89
424000000	87
424400000	94
424800000	65
425200000	77
425600000	78
426000000	70
426400000	71
426800000	60
427200000	44
427600000	67
428000000	68
428400000	69
428800000	52
429200000	48
429600000	48
430000000	62
430400000	62
430800000	70
431200000	59
431600000	58
432000000	53
432400000	53
432800000	51
433200000	39
433600000	59
434000000	74
434400000	62
434800000	53
435200000	54
435600000	62
436000000	75
436400000	62
436800000	60
437200000	32
437600000	45
438000000	59
438400000	43
438800000	47
439200000	53
439600000	65
440000000	39
440400000	72
440800000	49
441200000	36
441600000	56
442000000	56
442400000	52
442800000	50
443200000	55
443600000	46
444000000	54
444400000	48
444800000	60
445200000	64
445600000	64
446000000	61
446400000	54
446800000	55
447200000	50
447600000	46
448000000	42
448400000	64
448800000	56
449200000	52
449600000	46
450000000	46
450400000	45
450800000	53
451200000	30
451600000	3
452000000	8
452400000	6
452800000	1
453200000	8
453600000	6
454000000	6
454400000	9
454800000	7
455200000	4
455600000	8
456000000	13
456400000	11
456800000	8
457200000	5
457600000	9
458000000	9
458400000	5
458800000	10
459200000	6
459600000	8
460000000	9
460400000	6
460800000	11
461200000	6
461600000	10
462000000	3
462400000	6
462800000	5
463200000	4
463600000	5
464000000	4
464400000	7
464800000	10
465200000	5
465600000	5
466000000	9
466400000	6
466800000	12
467200000	5
467600000	5
468000000	7
468400000	6
468800000	10
469200000	7
469600000	10
470000000	6
470400000	5
470800000	4
471200000	10
471600000	10
472000000	3
472400000	6
472800000	6
473200000	7
473600000	4
474000000	11
474400000	7
474800000	7
475200000	6
475600000	8
476000000	7
476400000	7
476800000	9
477200000	6
477600000	5
478000000	12
478400000	9
478800000	4
479200000	6
479600000	4
480000000	10
480400000	6
480800000	3
481200000	7
481600000	8
482000000	3
482400000	6
482800000	4
483200000	5
483600000	10
484000000	6
484400000	5
484800000	2
485200000	8
485600000	9
486000000	6
486400000	10
486800000	10
487200000	6
487600000	5
488000000	6
488400000	9
488800000	9
489200000	7
489600000	13
490000000	8
490400000	8
490800000	9
491200000	6
491600000	8
492000000	14
492400000	7
492800000	7
493200000	8
493600000	8
494000000	5
494400000	6
494800000	7
495200000	10
495600000	7
496000000	7
496400000	132
496800000	116
497200000	99
497600000	107
498000000	105
498400000	91
498800000	96
499200000	81
499600000	73
500000000	84
500400000	80
500800000	70
501200000	77
501600000	70
502000000	58
502400000	47
502800000	76
503200000	60
503600000	52
504000000	70
504400000	63
504800000	57
505200000	61
505600000	51
506000000	64
506400000	51
506800000	54
507200000	62
507600000	55
508000000	52
508400000	59
508800000	51
509200000	60
509600000	64
510000000	48
510400000	58
510800000	59
511200000	58
511600000	62
512000000	48
512400000	49
512800000	55
513200000	51
513600000	57
514000000	47
514400000	42
514800000	49
515200000	55
515600000	41
516000000	44
516400000	67
516800000	56
517200000	47
517600000	53
518000000	51
518400000	49
518800000	42
519200000	49
519600000	55
520000000	45
520400000	51
520800000	52
521200000	56
521600000	47
522000000	58
522400000	48
522800000	45
523200000	50
523600000	62
524000000	47
524400000	70
524800000	59
525200000	63
525600000	52
526000000	51
526400000	9
526800000	7
527200000	6
527600000	11
528000000	8
528400000	11
528800000	7
529200000	2
529600000	10
530000000	7
530400000	6
530800000	9
531200000	4
531600000	5
532000000	9
532400000	4
532800000	5
533200000	9
533600000	9
534000000	6
534400000	13
534800000	6
535200000	6
535600000	7
536000000	7
536400000	10
536800000	9
537200000	2
537600000	5
538000000	6
538400000	5
538800000	4
539200000	9
539600000	10
540000000	5
