#Saved Data from the class wavemeter_logger_logic on 09.11.2022 at 10h13m06s.
#
#Parameters:
#===========
#
#Start Time (s): 09.11.2022 10h:10min:09s
#Stop Time (s): 09.11.2022 10h:13min:06s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.375675201416e-02	4.000000000000e+02	7.369802548745e+02
3.221583366394e-02	6.000000000000e+02	7.369802548745e+02
5.227017402649e-02	5.500000000000e+02	7.369802548745e+02
7.222342491150e-02	4.500000000000e+02	7.369802548745e+02
9.216570854187e-02	9.000000000000e+02	7.369802548745e+02
1.122260093689e-01	9.000000000000e+02	7.369802548745e+02
1.923024654388e-01	9.000000000000e+02	7.369802548745e+02
2.179467678070e-01	1.300000000000e+03	7.369802548745e+02
2.179467678070e-01	1.450000000000e+03	7.369802548745e+02
2.179467678070e-01	7.000000000000e+02	7.369802548745e+02
2.189393043518e-01	3.000000000000e+02	7.369802548745e+02
2.318818569183e-01	1.450000000000e+03	7.369802548745e+02
2.522530555725e-01	6.500000000000e+02	7.369802548745e+02
2.722821235657e-01	3.000000000000e+02	7.369802548745e+02
2.922189235687e-01	5.000000000000e+02	7.369802548745e+02
3.117818832397e-01	7.000000000000e+02	7.369802548745e+02
3.316824436188e-01	9.000000000000e+02	7.369802548745e+02
3.535695075989e-01	1.150000000000e+03	7.369802548745e+02
3.722162246704e-01	1.000000000000e+03	7.369802548745e+02
3.916342258453e-01	1.000000000000e+03	7.369802548745e+02
4.117825031281e-01	8.000000000000e+02	7.369802518228e+02
4.321529865265e-01	1.000000000000e+03	7.369802128186e+02
4.522140026093e-01	3.000000000000e+02	7.369801955909e+02
4.721031188965e-01	1.150000000000e+03	7.369801955909e+02
4.919683933258e-01	1.600000000000e+03	7.369801955909e+02
5.126459598541e-01	8.500000000000e+02	7.369801769919e+02
5.329430103302e-01	1.550000000000e+03	7.369801311053e+02
5.543620586395e-01	1.750000000000e+03	7.369800744652e+02
5.722088813782e-01	1.900000000000e+03	7.369800445062e+02
5.921792984009e-01	8.000000000000e+02	7.369800368817e+02
6.116023063660e-01	1.200000000000e+03	7.369800292019e+02
6.320090293884e-01	7.000000000000e+02	7.369800213974e+02
6.521751880646e-01	9.000000000000e+02	7.369800141639e+02
6.721289157867e-01	1.000000000000e+03	7.369800068543e+02
6.930704116821e-01	1.150000000000e+03	7.369799992712e+02
7.126090526581e-01	1.050000000000e+03	7.369799924428e+02
7.320971488953e-01	5.500000000000e+02	7.369799903514e+02
7.523524761200e-01	5.000000000000e+02	7.369799883269e+02
7.719089984894e-01	8.000000000000e+02	7.369799813281e+02
7.920486927032e-01	7.000000000000e+02	7.369799740007e+02
8.116846084595e-01	6.000000000000e+02	7.369799654523e+02
8.322501182556e-01	2.500000000000e+02	7.369799509994e+02
8.521795272827e-01	9.500000000000e+02	7.369799464702e+02
8.727066516876e-01	1.750000000000e+03	7.369799454060e+02
8.921320438385e-01	1.150000000000e+03	7.369799384956e+02
9.117805957794e-01	1.400000000000e+03	7.369799316284e+02
9.325003623962e-01	1.500000000000e+03	7.369799244931e+02
9.522371292114e-01	5.500000000000e+02	7.369799147475e+02
9.722054004669e-01	1.100000000000e+03	7.369799047288e+02
9.929077625275e-01	1.500000000000e+03	7.369798957630e+02
1.011602401733e+00	1.200000000000e+03	7.369798884018e+02
1.032215118408e+00	1.250000000000e+03	7.369798805921e+02
1.052324056625e+00	1.150000000000e+03	7.369798729955e+02
1.072243690491e+00	1.950000000000e+03	7.369798654893e+02
1.091578722000e+00	1.750000000000e+03	7.369798582478e+02
1.112608909607e+00	1.650000000000e+03	7.369798504395e+02
1.132217884064e+00	1.250000000000e+03	7.369798440766e+02
1.152167320251e+00	1.300000000000e+03	7.369798440766e+02
1.172248125076e+00	1.200000000000e+03	7.369798410733e+02
1.193034410477e+00	9.500000000000e+02	7.369798321307e+02
1.211602687836e+00	1.950000000000e+03	7.369798248655e+02
