#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h20m08s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:19min:45s
#Stop Time (s): 22.11.2022 14h:20min:08s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.273655891418e-02	1.050000000000e+03	7.370755178045e+02
2.910256385803e-02	1.050000000000e+03	7.370755178045e+02
4.905700683594e-02	8.000000000000e+02	7.370755178045e+02
6.906247138977e-02	7.000000000000e+02	7.370755177945e+02
8.922815322876e-02	9.500000000000e+02	7.370755177818e+02
1.208457946777e-01	1.000000000000e+03	7.370755178075e+02
1.327869892120e-01	1.600000000000e+03	7.370755178172e+02
1.598343849182e-01	1.300000000000e+03	7.370755178961e+02
1.718022823334e-01	7.500000000000e+02	7.370755179513e+02
1.914391517639e-01	1.200000000000e+03	7.370755180071e+02
2.150576114655e-01	2.000000000000e+02	7.370755180142e+02
2.679312229156e-01	3.000000000000e+02	7.370755177598e+02
3.148140907288e-01	8.500000000000e+02	7.370755175477e+02
3.437368869781e-01	1.300000000000e+03	7.370755174863e+02
3.718276023865e-01	1.500000000000e+02	7.370755174267e+02
4.067578315735e-01	3.500000000000e+02	7.370755173526e+02
4.167144298553e-01	1.250000000000e+03	7.370755173315e+02
4.177141189575e-01	9.500000000000e+02	7.370755173420e+02
4.177141189575e-01	1.100000000000e+03	7.370755173420e+02
4.187381267548e-01	7.500000000000e+02	7.370755173529e+02
4.187381267548e-01	1.050000000000e+03	7.370755173529e+02
4.287762641907e-01	8.000000000000e+02	7.370755174591e+02
4.487473964691e-01	1.350000000000e+03	7.370755176539e+02
4.686911106110e-01	1.200000000000e+03	7.370755177830e+02
4.887235164642e-01	1.000000000000e+03	7.370755179604e+02
5.087115764618e-01	1.050000000000e+03	7.370755181194e+02
5.286393165588e-01	1.250000000000e+03	7.370755181194e+02
5.489768981934e-01	9.000000000000e+02	7.370755181395e+02
5.689556598663e-01	8.000000000000e+02	7.370755181762e+02
5.888795852661e-01	7.000000000000e+02	7.370755181196e+02
6.088228225708e-01	1.150000000000e+03	7.370755180830e+02
6.290032863617e-01	7.000000000000e+02	7.370755181150e+02
6.488847732544e-01	1.100000000000e+03	7.370755182029e+02
6.692636013031e-01	1.200000000000e+03	7.370755188067e+02
6.888945102692e-01	1.050000000000e+03	7.370755205689e+02
7.091071605682e-01	1.750000000000e+03	7.370755208378e+02
7.283484935760e-01	9.000000000000e+02	7.370755227840e+02
7.485330104828e-01	1.200000000000e+03	7.370755274544e+02
7.690978050232e-01	1.450000000000e+03	7.370755325181e+02
7.892384529114e-01	8.500000000000e+02	7.370755364533e+02
8.083374500275e-01	1.600000000000e+03	7.370755364533e+02
8.299551010132e-01	9.500000000000e+02	7.370755411025e+02
8.492059707642e-01	7.000000000000e+02	7.370755469084e+02
8.690946102142e-01	8.500000000000e+02	7.370755535316e+02
8.883492946625e-01	1.100000000000e+03	7.370755554918e+02
9.089376926422e-01	1.200000000000e+03	7.370755563928e+02
9.289517402649e-01	1.100000000000e+03	7.370755623807e+02
9.488987922668e-01	1.500000000000e+03	7.370755685523e+02
9.683749675751e-01	1.050000000000e+03	7.370755747763e+02
9.886474609375e-01	7.000000000000e+02	7.370755754140e+02
1.009214401245e+00	1.050000000000e+03	7.370755783168e+02
1.028960704803e+00	1.150000000000e+03	7.370755847666e+02
1.049664020538e+00	9.500000000000e+02	7.370755909518e+02
1.069297790527e+00	1.300000000000e+03	7.370755969810e+02
1.088248252869e+00	8.500000000000e+02	7.370756035958e+02
1.109187841415e+00	9.500000000000e+02	7.370756053350e+02
