W,I,ESTS,EETS
722.30083948165918,610,29209,1029209
722.31556001752563,602,29209,1029209
722.33027990354412,599,29209,1029209
722.34499913963907,595,29209,1029209
722.35971772573521,600,29209,1029209
722.37443566175693,600,29209,1029209
722.3891529476291,600,29209,1029209
722.40386958327588,595,29209,1029209
722.41858556862212,599,29209,1029209
722.43330090359223,598,29209,1029209
722.448015588111,601,29209,1029209
722.462729622103,599,29209,1029209
722.47744300549266,599,29209,1029209
722.49215573820481,604,29209,1029209
722.50686782016419,596,29209,1029209
722.52157925129507,601,29209,1029209
722.53629003152253,597,29209,1029209
722.55100016077085,599,29209,1029209
722.56570963896479,609,29209,1029209
722.5804184660293,600,29209,1029209
722.595126641889,596,29209,1029209
722.6098341664682,604,29209,1029209
722.62454103969208,595,29209,1029209
722.639247261485,593,29209,1029209
722.653952831772,603,29209,1029209
722.66865775047768,597,29209,1029209
722.68336201752686,597,29209,1029209
722.698065632844,603,29209,1029209
722.71276859635407,598,29209,1029209
722.727470907982,606,29209,1029209
722.74217256765246,602,29209,1029209
722.75687357529011,600,29209,1029209
722.77157393081973,599,29209,1029209
722.78627363416638,598,29209,1029209
722.80097268525481,600,29209,1029209
722.81567108400964,595,29209,1029209
722.83036883035584,599,29209,1029209
722.84506592421837,606,29209,1029209
722.859762365522,592,29209,1029209
722.87445815419142,595,29209,1029209
722.88915329015185,589,29209,1029209
722.9038477733277,600,29209,1029209
722.91854160364448,598,29209,1029209
722.9332347810265,596,29209,1029209
722.947927305399,598,29209,1029209
722.96261917668676,597,29209,1029209
722.97731039481482,595,29209,1029209
722.99200095970821,595,29209,1029209
723.00669087129154,592,29209,1029209
723.0213801294899,599,29209,1029209
723.03606873422848,598,29209,1029209
723.050756685432,597,29209,1029209
723.06544398302549,599,29209,1029209
723.08013062693408,601,29209,1029209
723.09481661708253,595,29209,1029209
723.10950195339615,596,29209,1029209
723.12418663579979,602,29209,1029209
723.1388706642183,603,29209,1029209
723.15355403857711,605,29209,1029209
723.168236758801,598,29209,1029209
723.18291882481492,599,29209,1029209
723.1976002365443,603,29209,1029209
723.21228099391408,604,29209,1029209
723.226961096849,601,29209,1029209
723.24164054527478,601,29209,1029209
723.25631933911586,602,29209,1029209
723.27099747829777,601,29209,1029209
723.28567496274559,597,29209,1029209
723.30035179238439,597,29209,1029209
723.31502796713914,598,29209,1029209
723.32970348693527,596,29209,1029209
723.344378351698,603,29209,1029209
723.359052561352,593,29209,1029209
723.373726115823,600,29209,1029209
723.3883990150357,603,29209,1029209
723.40307125891582,602,29209,1029209
723.417742847388,598,29209,1029209
723.43241378037783,600,29209,1029209
723.44708405781057,605,29209,1029209
723.46175367961109,596,29209,1029209
723.476422645705,603,29209,1029209
723.4910909560175,595,29209,1029209
723.50575861047355,602,29209,1029209
723.52042560899861,602,29209,1029209
723.5350919515181,600,29209,1029209
723.54975763795721,592,29209,1029209
723.56442266824092,594,29209,1029209
723.579087042295,596,29209,1029209
723.59375076004449,596,29209,1029209
723.608413821415,600,29209,1029209
723.62307622633136,600,29209,1029209
723.63773797471924,599,29209,1029209
723.65239906650413,598,29209,1029209
723.66705950161122,596,29209,1029209
723.68171927996571,596,29209,1029209
723.69637840149323,600,29209,1029209
723.711036866119,590,29209,1029209
723.72569467376866,599,29209,1029209
723.74035182436728,600,29209,1029209
723.75500831784052,599,29209,1029209
723.76966415411357,595,29209,1029209
723.78431933311219,601,29209,1029209
723.79897385476158,600,29209,1029209
723.81362771898716,592,29209,1029209
723.82828092571469,609,29209,1029209
723.84293347486948,598,29209,1029209
723.85758536637672,600,29209,1029209
723.87223660016241,602,29209,1029209
723.8868871761515,598,29209,1029209
723.90153709427,597,29209,1029209
723.9161863544432,596,29209,1029209
723.93083495659653,604,29209,1029209
723.94548290065563,593,29209,1029209
723.96013018654617,594,29209,1029209
723.97477681419355,600,29209,1029209
723.9894227835232,599,29209,1029209
724.004068094461,596,29209,1029209
724.01871274693247,597,29209,1029209
724.03335674086281,602,29209,1029209
724.04800007617814,596,29209,1029209
724.06264275280387,596,29209,1029209
724.07728477066541,600,29209,1029209
724.09192612968877,603,29209,1029209
724.10656682979925,597,29209,1029209
724.12120687092261,597,29209,1029209
724.13584625298483,598,29209,1029209
724.150484975911,600,29209,1029209
724.165123039627,595,29209,1029209
724.17976044405884,601,29209,1029209
724.19439718913179,600,29209,1029209
724.20903327477163,600,29209,1029209
724.22366870090445,598,29209,1029209
724.23830346745547,597,29209,1029209
724.25293757435065,597,29209,1029209
724.26757102151566,600,29209,1029209
724.28220380887649,599,29209,1029209
724.29683593635843,598,29209,1029209
724.31146740388772,598,29209,1029209
724.32609821139,595,29209,1029209
724.34072835879067,596,29209,1029209
724.355357846016,599,29209,1029209
724.36998667299167,599,29209,1029209
724.38461483964352,602,29209,1029209
724.39924234589716,594,29209,1029209
724.41386919167871,595,29209,1029209
724.42849537691382,600,29209,1029209
724.44312090152835,601,29209,1029209
724.45774576544818,599,29209,1029209
724.47236996859942,601,29209,1029209
724.48699351090761,602,29209,1029209
724.50161639229862,601,29209,1029209
724.51623861269866,606,29209,1029209
724.53086017203339,592,29209,1029209
